TENOR,23-01-23,24-01-23,25-01-23,26-01-23,27-01-23,30-01-23,06-02-23,13-02-23,21-02-23
0.019178082,4.38991,4.39179,4.42739,4.54075,4.57621,4.61622,4.64458,4.64327,4.64509
0.038356164,4.48873,4.50668,4.52649,4.58487,4.60527,4.63268,4.64499,4.64332,4.64492
0.057534247,4.53926,4.55143,4.56099,4.60604,4.61573,4.63835,4.65558,4.64439,4.64455
0.083333333,4.57806,4.58505,4.59114,4.61622,4.62492,4.64257,4.64455,4.64343,4.64544
0.166666667,4.62551,4.63074,4.63289,4.65854,4.66362,4.68627,4.72018,4.74897,4.79985
0.25,4.69857,4.70596,4.70625,4.72234,4.72276,4.74003,4.78575,4.82222,4.89909
0.333333333,4.75637,4.76312,4.76489,4.78096,4.7808,4.79807,4.86552,4.89494,4.98652
0.416666667,4.80166,4.80593,4.79894,4.819,4.81709,4.83765,4.93294,4.96625,5.06507
0.5,4.83063,4.83515,4.82414,4.84372,4.84229,4.86159,4.97836,5.01209,5.12447
0.75,4.85313,4.85321,4.83204,4.85166,4.85262,4.87559,5.04586,5.08475,5.22276
1,4.7966,4.79133,4.7618,4.78552,4.78968,4.81509,5.01717,5.06242,5.22559
1.5,4.51262,4.50034,4.46174,4.49947,4.50769,4.54287,4.76501,4.82813,5.02692
2,4.15864,4.14005,4.11444,4.16106,4.17281,4.2158,4.43555,4.50938,4.73416
3,3.70659,3.67643,3.65965,3.71791,3.73143,3.78181,3.98164,4.0669,4.31682
4,3.46994,3.43048,3.41295,3.47627,3.49229,3.54254,3.72345,3.80573,4.06395
5,3.33605,3.28969,3.27096,3.33533,3.35463,3.40097,3.5645,3.64285,3.90352
6,3.25624,3.20543,3.19214,3.25578,3.27298,3.31671,3.46224,3.53868,3.79978
7,3.20488,3.15229,3.14228,3.20608,3.22034,3.26183,3.39056,3.46438,3.72605
8,3.17287,3.1187,3.11227,3.17479,3.18715,3.22595,3.34141,3.41335,3.67335
9,3.15824,3.10164,3.09837,3.16166,3.17182,3.20789,3.31023,3.38096,3.6389
10,3.15297,3.09304,3.09503,3.1568,3.16547,3.19901,3.28779,3.36024,3.61485
12,3.15942,3.09848,3.10179,3.16108,3.16542,3.19761,3.26609,3.34067,3.58192
15,3.17486,3.11196,3.11433,3.17395,3.17163,3.20156,3.24812,3.32629,3.55001
20,3.13511,3.06994,3.07382,3.12931,3.12154,3.14952,3.17804,3.26976,3.45481
25,3.00389,2.93754,2.94104,2.99552,2.98185,3.00946,3.02781,3.1229,3.28702
30,2.8673,2.80102,2.8046,2.85796,2.83968,2.86426,2.87495,2.97567,3.12073
40,2.568,2.50499,2.50689,2.5548,2.53994,2.56634,2.57781,2.67056,2.78615
50,2.2669,2.20528,2.20141,2.261,2.23912,2.25794,2.27498,2.35936,2.44703
