Date,23-01-23,24-01-23,25-01-23,26-01-23,27-01-23,30-01-23,06-02-23,13-02-23,21-02-23
17/03/2023,4035.04,4029.05,4024.12,4073.32,4082.61,4039.09,4121.99,4140.01,4008.82
31/03/2023,4040.37,4034.42,4029.59,4078.71,4087.89,4044.51,4127.55,4146.62,4015.22
21/04/2023,4049.62,4043.59,4038.69,4087.83,4097.34,4053.85,4137.13,4156.43,4024.42
28/04/2023,4052.31,4046.59,4041.69,4091.01,4100.57,4059.99,4140.27,4159.61,4027.57
19/05/2023,4059.23,4053.57,4048.37,4098.35,4108.25,4063.62,4147.61,4167.25,4034.85
31/05/2023,4063.03,4057.36,4052,4102.15,4111.93,4067.73,4151.58,4171.39,4038.93
16/06/2023,4070.28,4064.59,4059.47,4108.9,4118.68,4074.61,4159.42,4179.41,4046.87
30/06/2023,4076.82,4071.04,4065.47,4115.22,4125.13,4080.96,4166.19,4186.34,4053.75
21/07/2023,4086.01,4080.15,4074.59,4124.62,4134.5,4090.3,4176.07,4196.2,4063.8
18/08/2023,4096.38,4090.31,4084.54,4135.53,4145.43,4100.52,4187.48,4208.01,4075.41
15/09/2023,4106.94,4100.88,4094.95,4145.93,4155.98,4111.37,4199.39,4220.06,4087.54
29/09/2023,4113.59,4107.22,4101.37,4151.88,4162.21,4117.58,4206.14,4227.29,4094.69
20/10/2023,4123.01,4116.6,4110.6,4161.61,4171.65,4126.68,4216.75,4238.13,4105.18
17/11/2023,4132.71,4126.3,4120.09,4172.19,4182.98,4137.12,4227.98,4249.68,4116.95
15/12/2023,4142.84,4136.38,4129.91,4181.77,4192.01,4147.16,4239.48,4261.72,4129.28
29/12/2023,4150.07,4143.5,4137.11,4188.54,4198.68,4153.94,4247.43,4269.72,4137.54
19/01/2024,4159.7,4153.08,4146.49,4198.37,4209.33,4163.5,4257.87,4280.94,4148.88
16/02/2024,4168.67,4162.04,4155.28,4209.22,4219.61,4172.83,4267.8,4292.98,4161.36
15/03/2024,4175.23,4168.43,4161.39,4215.96,4225.35,4179.67,4276.04,4301.92,4171.09
21/06/2024,4206.18,4199.08,4191.51,4246.79,4257.49,4211.71,4312.03,4339.14,4210.39
20/12/2024,4249.04,4241.5,4233.91,4291.66,4303.28,4258.65,4364.02,4395.07,4272.73
19/12/2025,4330.34,4320.46,4312.44,4373.86,4385.76,4342.74,4458.99,4497.69,4383.66
18/12/2026,4411.05,4398.47,4390.83,4455.96,4469.86,4429.22,4552.97,4600.24,4493.38
17/12/2027,4501.12,4485.28,4477.98,4546.18,4561.81,4523.79,4651.88,4706.51,4609.95
31/12/2027,4504.87,4488.9,4481.6,4549.81,4565.51,4527.7,4655.97,4710.86,4614.72
29/12/2028,4599.82,4580.12,4573.65,4645.59,4662.3,4626.79,4757.98,4820.39,4735.11
31/12/2029,4699.51,4675.94,4671.08,4747.11,4764.12,4730.57,4863.49,4934.09,4859.97
31/12/2030,4803.62,4776.05,4772.52,4852.64,4869.98,4838.35,4972.44,5051.11,4988.4
31/12/2031,4914.61,4882.46,4880.84,4965.33,4982.86,4953,5086.9,5174.6,5123.49
31/12/2032,5031.77,4995.39,4995.25,5084.29,5102,5073.6,5207.47,5304.03,5264.61
