23-01-23,24-01-23,25-01-23,26-01-23,27-01-23,30-01-23,06-02-23,13-02-23,21-02-23
0.145205479,0.14246575,0.13972603,0.13698630,0.13424658,0.12602740,0.10684932,0.08767123,0.06575342
0.183561644,0.18082192,0.17808219,0.17534247,0.17260274,0.16438356,0.14520548,0.12602740,0.10410959
0.24109589,0.23835616,0.23561644,0.23287671,0.23013699,0.22191781,0.20273973,0.18356164,0.16164384
0.260273973,0.25753425,0.25479452,0.25205479,0.24931507,0.24109589,0.22191781,0.20273973,0.18082192
0.317808219,0.31506849,0.31232877,0.30958904,0.30684932,0.29863014,0.27945205,0.26027397,0.23835616
0.350684932,0.34794521,0.34520548,0.34246575,0.33972603,0.33150685,0.31232877,0.29315068,0.27123288
0.394520548,0.39178082,0.3890411,0.38630137,0.38356164,0.37534247,0.35616438,0.33698630,0.31506849
0.432876712,0.43013699,0.42739726,0.42465753,0.42191781,0.41369863,0.39452055,0.37534247,0.35342466
0.490410959,0.48767123,0.48493151,0.48219178,0.47945205,0.47123288,0.45205479,0.43287671,0.41095890
0.567123288,0.56438356,0.56164384,0.55890411,0.55616438,0.54794521,0.52876712,0.50958904,0.48767123
0.643835616,0.64109589,0.63835616,0.63561644,0.63287671,0.62465753,0.60547945,0.58630137,0.56438356
0.682191781,0.67945205,0.67671233,0.67397260,0.67123288,0.66301370,0.64383562,0.62465753,0.60273973
0.739726027,0.73698630,0.73424658,0.73150685,0.72876712,0.72054795,0.70136986,0.68219178,0.66027397
0.816438356,0.81369863,0.8109589,0.80821918,0.80547945,0.79726027,0.77808219,0.75890411,0.73698630
0.893150685,0.89041096,0.88767123,0.88493151,0.88219178,0.87397260,0.85479452,0.83561644,0.81369863
0.931506849,0.92876712,0.9260274,0.92328767,0.92054795,0.91232877,0.89315068,0.87397260,0.85205479
0.989041096,0.98630137,0.98356164,0.98082192,0.97808219,0.96986301,0.95068493,0.93150685,0.90958904
1.065753425,1.06301370,1.06027397,1.05753425,1.05479452,1.04657534,1.02739726,1.00821918,0.98630137
1.142465753,1.13972603,1.1369863,1.13424658,1.13150685,1.12328767,1.10410959,1.08493151,1.06301370
1.410958904,1.40821918,1.40547945,1.40273973,1.40000000,1.39178082,1.37260274,1.35342466,1.33150685
1.909589041,1.90684932,1.90410959,1.90136986,1.89863014,1.89041096,1.87123288,1.85205479,1.83013699
2.906849315,2.90410959,2.90136986,2.89863014,2.89589041,2.88767123,2.86849315,2.84931507,2.82739726
3.904109589,3.90136986,3.89863014,3.89589041,3.89315068,3.88493151,3.86575342,3.84657534,3.82465753
4.901369863,4.89863014,4.89589041,4.89315068,4.89041096,4.88219178,4.86301370,4.84383562,4.82191781
4.939726027,4.93698630,4.93424658,4.93150685,4.92876712,4.92054795,4.90136986,4.88219178,4.86027397
5.936986301,5.93424658,5.93150685,5.92876712,5.92602740,5.91780822,5.89863014,5.87945205,5.85753425
6.942465753,6.93972603,6.9369863,6.93424658,6.93150685,6.92328767,6.90410959,6.88493151,6.86301370
7.942465753,7.93972603,7.9369863,7.93424658,7.93150685,7.92328767,7.90410959,7.88493151,7.86301370
8.942465753,8.93972603,8.9369863,8.93424658,8.93150685,8.92328767,8.90410959,8.88493151,8.86301370
9.945205479,9.94246575,9.93972603,9.93698630,9.93424658,9.92602740,9.90684932,9.88767123,9.86575342
